entry_id	toned	plain	kind
告訴|告诉|gao4 su4	gao4su4	gaosu	canonical
告訴|告诉|gao4 su5	gao4su5	gaosu	canonical
呢|呢|ne5	ne5	ne	canonical
呢|呢|ni2	ni2	ni	canonical
周|周|zhou1	zhou1	zhou	canonical
周圍|周围|zhou1 wei2	zhou1wei2	zhouwei	canonical
味|味|wei4	wei4	wei	canonical
命|命|ming4	ming4	ming	canonical
命令|命令|ming4 ling4	ming4ling4	mingling	canonical
命名|命名|ming4 ming2	ming4ming2	mingming	canonical
和平|和平|he2 ping2	he2ping2	heping	canonical
咖啡|咖啡|ka1 fei1	ka1fei1	kafei	canonical
品|品|pin3	pin3	pin	canonical
哈|哈|ha1	ha1	ha	canonical
哈|哈|ha3	ha3	ha	canonical
員|员|yuan2	yuan2	yuan	canonical
員工|员工|yuan2 gong1	yuan2gong1	yuangong	canonical
哥|哥|ge1	ge1	ge	canonical
唯一|唯一|wei2 yi1	wei2yi1	weiyi	canonical
唱|唱|chang4	chang4	chang	canonical
唱片|唱片|chang4 pian4	chang4pian4	changpian	canonical
商|商|shang1	shang1	shang	canonical
商業|商业|shang1 ye4	shang1ye4	shangye	canonical
問|问|wen4	wen4	wen	canonical
問題|问题|wen4 ti2	wen4ti2	wenti	canonical
啟動|启动|qi3 dong4	qi3dong4	qidong	canonical
善|善|shan4	shan4	shan	canonical
喜|喜|xi3	xi3	xi	canonical
喜歡|喜欢|xi3 huan5	xi3huan5	xihuan	canonical
喬|乔|qiao2	qiao2	qiao	canonical
單|单|dan1	dan1	dan	canonical
單位|单位|dan1 wei4	dan1wei4	danwei	canonical
單獨|单独|dan1 du2	dan1du2	dandu	canonical
嗎|吗|ma2	ma2	ma	canonical
嗎|吗|ma5	ma5	ma	canonical
嘗試|尝试|chang2 shi4	chang2shi4	changshi	canonical
嘴|嘴|zui3	zui3	zui	canonical
器|器|qi4	qi4	qi	canonical
嚴格|严格|yan2 ge2	yan2ge2	yange	canonical
嚴重|严重|yan2 zhong4	yan2zhong4	yanzhong	canonical
四|四|si4	si4	si	canonical
回|回|hui2	hui2	hui	canonical
回到|回到|hui2 dao4	hui2dao4	huidao	canonical
回憶|回忆|hui2 yi4	hui2yi4	huiyi	canonical
回答|回答|hui2 da2	hui2da2	huida	canonical
因|因|yin1	yin1	yin	canonical
因此|因此|yin1 ci3	yin1ci3	yinci	canonical
因為|因为|yin1 wei4	yin1wei4	yinwei	canonical
困難|困难|kun4 nan5	kun4nan5	kunnan	canonical
圈|圈|juan1	juan1	juan	canonical
圈|圈|juan4	juan4	juan	canonical
圈|圈|quan1	quan1	quan	canonical
國家|国家|guo2 jia1	guo2jia1	guojia	canonical
國王|国王|guo2 wang2	guo2wang2	guowang	canonical
國際|国际|guo2 ji4	guo2ji4	guoji	canonical
圍|围|wei2	wei2	wei	canonical
圓|圆|yuan2	yuan2	yuan	canonical
圖|图|tu2	tu2	tu	canonical
圖書館|图书馆|tu2 shu1 guan3	tu2shu1guan3	tushuguan	canonical
團|团|tuan2	tuan2	tuan	canonical
團隊|团队|tuan2 dui4	tuan2dui4	tuandui	canonical
團體|团体|tuan2 ti3	tuan2ti3	tuanti	canonical
土|土|tu3	tu3	tu	canonical
土地|土地|tu3 di4	tu3di4	tudi	canonical
土地|土地|tu3 di5	tu3di5	tudi	canonical
圣|圣|ku1	ku1	ku	canonical
在|在|zai4	zai4	zai	canonical
在於|在于|zai4 yu2	zai4yu2	zaiyu	canonical
地|地|di4	di4	di	canonical
地下|地下|di4 xia4	di4xia4	dixia	canonical
地位|地位|di4 wei4	di4wei4	diwei	canonical
地區|地区|di4 qu1	di4qu1	diqu	canonical
地圖|地图|di4 tu2	di4tu2	ditu	canonical
地址|地址|di4 zhi3	di4zhi3	dizhi	canonical
地方|地方|di4 fang1	di4fang1	difang	canonical
地方|地方|di4 fang5	di4fang5	difang	canonical
地球|地球|di4 qiu2	di4qiu2	diqiu	canonical
地鐵|地铁|di4 tie3	di4tie3	ditie	canonical
地點|地点|di4 dian3	di4dian3	didian	canonical
均|均|jun1	jun1	jun	canonical
坐|坐|zuo4	zuo4	zuo	canonical
型|型|xing2	xing2	xing	canonical
城|城|cheng2	cheng2	cheng	canonical
城市|城市|cheng2 shi4	cheng2shi4	chengshi	canonical
